"","token","lemma"
"330","acquiescing","acquiesce"
"331","acquired","acquire"
"332","acquirements","acquirement"
"333","acquires","acquire"
"334","acquiring","acquire"
"335","acquisitions","acquisition"
"336","acquits","acquit"
"337","acquittals","acquittal"
"338","acquitted","acquit"
"339","acquitting","acquit"
"340","acreages","acreage"
"341","acres","acre"
"342","acrobatics","acrobatic"
"343","acrobats","acrobat"
"344","acromegalies","acromegaly"
"345","acronyms","acronym"
"346","acrostics","acrostic"
"347","acrylamides","acrylamide"
"348","acrylics","acrylic"
"349","acted","act"
"350","acting","act"
"351","actings","acting"
"352","actins","actin"
"353","actioned","action"
"354","actioning","action"
"355","actions","action"
"356","activated","activate"
"357","activates","activate"
"358","activating","activate"
"359","activations","activation"
"360","activators","activator"
"361","actives","active"
"362","activists","activist"
"363","activities","activity"
"364","actors","actor"
"365","actresses","actress"
"366","acts","act"
"367","actualisations","actualisation"
"368","actualised","actualise"
"369","actualises","actualise"
"370","actualising","actualise"
"371","actualities","actuality"
"372","actualizations","actualization"
"373","actualized","actualize"
"374","actualizes","actualize"
"375","actualizing","actualize"
"376","actuaries","actuary"
"377","actuated","actuate"
"378","actuates","actuate"
"379","actuating","actuate"
"380","actuations","actuation"
"381","actuators","actuator"
"382","acuities","acuity"
"383","acumens","acumen"
"384","acupoints","acupoint"
"385","acupunctures","acupuncture"
"386","acupuncturists","acupuncturist"
"387","acutenesses","acuteness"
"388","acuter","acute"
"389","acutest","acute"
"390","acyls","acyl"
"391","ad-libbed","ad-lib"
"392","ad-libbing","ad-lib"
"393","ad-libs","ad-lib"
"394","adages","adage"
"395","adaptabilities","adaptability"
"396","adaptations","adaptation"
"397","adapted","adapt"
"398","adapters","adapter"
"399","adapting","adapt"
"400","adaptions","adaption"
"401","adaptogens","adaptogen"
"402","adaptors","adaptor"
"403","adapts","adapt"
"404","add-ons","add-on"
"405","added","add"
"406","addenda","addendum"
"407","addendums","addendum"
"408","adders","adder"
"409","addicted","addict"
"410","addicting","addict"
"411","addictions","addiction"
"412","addicts","addict"
"413","adding","add"
"414","adding-machines","adding-machine"
"415","additions","addition"
"416","additives","additive"
"417","addled","addle"
"418","addles","addle"
"419","addling","addle"
"420","addressed","address"
"421","addressees","addressee"
"422","addresses","address"
"423","addressing","address"
"424","adds","add"
"425","adduced","adduce"
"426","adduces","adduce"
"427","adducing","adduce"
"428","adducted","adduct"
"429","adducting","adduct"
"430","adductors","adductor"
"431","adducts","adduct"
"432","adenines","adenine"
"433","adenocarcinomas","adenocarcinoma"
"434","adenocarcinomata","adenocarcinoma"
"435","adenoids","adenoid"
"436","adenomas","adenoma"
"437","adenomata","adenoma"
"438","adenosines","adenosine"
"439","adenoviruses","adenovirus"
"440","adepts","adept"
"441","adequacies","adequacy"
"442","ades","ade"
"443","adhered","adhere"
"444","adherences","adherence"
"445","adherents","adherent"
"446","adheres","adhere"
"447","adhering","adhere"
"448","adhesins","adhesin"
"449","adhesions","adhesion"
"450","adhesives","adhesive"
"451","adieus","adieu"
"452","adieux","adieu"
"453","adipocytes","adipocyte"
"454","adits","adit"
"455","adjacencies","adjacency"
"456","adjectives","adjective"
"457","adjoined","adjoin"
"458","adjoining","adjoin"
"459","adjoins","adjoin"
"460","adjoints","adjoint"
"461","adjourned","adjourn"
"462","adjourning","adjourn"
"463","adjournments","adjournment"
"464","adjourns","adjourn"
"465","adjudged","adjudge"
"466","adjudges","adjudge"
"467","adjudging","adjudge"
"468","adjudicated","adjudicate"
"469","adjudicates","adjudicate"
"470","adjudicating","adjudicate"
"471","adjudications","adjudication"
"472","adjudicators","adjudicator"
"473","adjuncts","adjunct"
"474","adjured","adjure"
"475","adjures","adjure"
"476","adjuring","adjure"
"477","adjusted","adjust"
"478","adjusters","adjuster"
"479","adjusting","adjust"
"480","adjustments","adjustment"
"481","adjusts","adjust"
"482","adjutants","adjutant"
"483","adjuvants","adjuvant"
"484","administered","administer"
"485","administering","administer"
"486","administers","administer"
"487","administrated","administrate"
"488","administrates","administrate"
"489","administrating","administrate"
"490","administrations","administration"
"491","administrators","administrator"
"492","admirals","admiral"
"493","admiralties","admiralty"
"494","admired","admire"
"495","admirers","admirer"
"496","admires","admire"
"497","admiring","admire"
"498","admissions","admission"
"499","admits","admit"
"500","admittances","admittance"
"501","admitted","admit"
"502","admitting","admit"
"503","admixed","admix"
"504","admixes","admix"
"505","admixing","admix"
"506","admixtures","admixture"
"507","admonished","admonish"
"508","admonishes","admonish"
"509","admonishing","admonish"
"510","admonitions","admonition"
"511","adms","adm"
"512","adolescents","adolescent"
"513","adopted","adopt"
"514","adoptees","adoptee"
"515","adopters","adopter"
"516","adopting","adopt"
"517","adoptions","adoption"
"518","adopts","adopt"
"519","adored","adore"
"520","adorers","adorer"
"521","adores","adore"
"522","adoring","adore"
"523","adorned","adorn"
"524","adorning","adorn"
"525","adornments","adornment"
"526","adorns","adorn"
"527","adrenals","adrenal"
"528","adroiter","adroit"
"529","adroitest","adroit"
"530","ads","ad"
"531","adsorbates","adsorbate"
"532","adsorbed","adsorb"
"533","adsorbents","adsorbent"
"534","adsorbers","adsorber"
"535","adsorbing","adsorb"
"536","adsorbs","adsorb"
"537","adsorptions","adsorption"
"538","adulterants","adulterant"
"539","adulterated","adulterate"
"540","adulterates","adulterate"
"541","adulterating","adulterate"
"542","adulterations","adulteration"
"543","adulterers","adulterer"
"544","adulteresses","adulteress"
"545","adulteries","adultery"
"546","adults","adult"
"547","adumbrated","adumbrate"
"548","adumbrates","adumbrate"
"549","adumbrating","adumbrate"
"550","advanced","advance"
"551","advancements","advancement"
"552","advances","advance"
"553","advancing","advance"
"554","advantaged","advantage"
"555","advantages","advantage"
"556","advantaging","advantage"
"557","advents","advent"
"558","adventured","adventure"
"559","adventurers","adventurer"
"560","adventures","adventure"
"561","adventuring","adventure"
"562","adverbials","adverbial"
"563","adverbs","adverb"
"564","adversaries","adversary"
"565","adversities","adversity"
"566","adverted","advert"
"567","adverting","advert"
"568","advertised","advertise"
"569","advertisements","advertisement"
"570","advertisers","advertiser"
"571","advertises","advertise"
"572","advertising","advertise"
"573","advertized","advertize"
"574","advertizes","advertize"
"575","advertizing","advertize"
"576","advertorials","advertorial"
"577","adverts","advert"
"578","advices","advice"
"579","advisabilities","advisability"
"580","advised","advise"
"581","advisers","adviser"
"582","advises","advise"
"583","advising","advise"
"584","advisories","advisory"
"585","advisors","advisor"
"586","advocacies","advocacy"
"587","advocated","advocate"
"588","advocates","advocate"
"589","advocating","advocate"
"590","adzes","adze"
"591","aegises","aegis"
"592","aeons","aeon"
"593","aerated","aerate"
"594","aerates","aerate"
"595","aerating","aerate"
"596","aerations","aeration"
"597","aerators","aerator"
"598","aerials","aerial"
"599","aerodromes","aerodrome"
"600","aerodynamics","aerodynamic"
"601","aerogels","aerogel"
"602","aeronauts","aeronaut"
"603","aeroplanes","aeroplane"
"604","aerosols","aerosol"
"605","aerospaces","aerospace"
"606","aesthetes","aesthete"
"607","aesthetics","aesthetic"
"608","aethers","aether"
"609","aetiologies","aetiology"
"610","affairs","affair"
"611","affectations","affectation"
"612","affected","affect"
"613","affecting","affect"
"614","affections","affection"
"615","affectives","affective"
"616","affects","affect"
"617","affidavits","affidavit"
"618","affiliated","affiliate"
"619","affiliates","affiliate"
"620","affiliating","affiliate"
"621","affiliations","affiliation"
"622","affinities","affinity"
"623","affirmations","affirmation"
"624","affirmatives","affirmative"
"625","affirmed","affirm"
"626","affirming","affirm"
"627","affirms","affirm"
"628","affixed","affix"
"629","affixes","affix"
"630","affixing","affix"
"631","afflicted","afflict"
"632","afflicting","afflict"
"633","afflictions","affliction"
"634","afflicts","afflict"
"635","affluents","affluent"
"636","affordances","affordance"
"637","afforded","afford"
"638","affording","afford"
"639","affords","afford"
"640","afforested","afforest"
"641","afforesting","afforest"
"642","afforests","afforest"
"643","affrays","affray"
"644","affronted","affront"
"645","affronting","affront"
"646","affronts","affront"
"647","afghans","afghan"
"648","aflatoxins","aflatoxin"
"649","africans","african"
"650","afrikaners","afrikaner"
"651","afros","afro"
"652","afs","af"
"653","after-effects","after-effect"
"654","after-shaves","after-shave"
"655","afterbirths","afterbirth"
"656","afterburners","afterburner"
"657","afterglows","afterglow"
"658","afterlives","afterlife"
"659","aftermaths","aftermath"
"660","afternoons","afternoon"
"661","afters","after"
"662","aftershaves","aftershave"
"663","aftertastes","aftertaste"
"664","afterthoughts","afterthought"
"665","agars","agar"
"666","agates","agate"
"667","agaves","agave"
"668","age-groups","age-group"
"669","aged","age"
"670","ageing","age"
"671","agencies","agency"
"672","agenda","agendum"
"673","agendas","agenda"
"674","agendums","agendum"
"675","agents","agent"
"676","ages","age"
"677","agglomerated","agglomerate"
"678","agglomerates","agglomerate"
"679","agglomerating","agglomerate"
"680","agglomerations","agglomeration"
"681","agglutinated","agglutinate"
"682","agglutinates","agglutinate"
"683","agglutinating","agglutinate"
"684","agglutinations","agglutination"
"685","aggrandized","aggrandize"
"686","aggrandizes","aggrandize"
"687","aggrandizing","aggrandize"
"688","aggravated","aggravate"
"689","aggravates","aggravate"
"690","aggravating","aggravate"
"691","aggravations","aggravation"
"692","aggregated","aggregate"
"693","aggregated.","aggregate"
"694","aggregates","aggregate"
"695","aggregating","aggregate"
"696","aggregations","aggregation"
"697","aggregators","aggregator"
"698","aggressions","aggression"
"699","aggressivenesses","aggressiveness"
"700","aggressors","aggressor"
"701","aggrieved","aggrieve"
"702","aggrieves","aggrieve"
"703","aggrieving","aggrieve"
"704","aging","age"
"705","agitated","agitate"
"706","agitates","agitate"
"707","agitating","agitate"
"708","agitations","agitation"
"709","agitators","agitator"
"710","agms","agm"
"711","agnostics","agnostic"
"712","agonies","agony"
"713","agonised","agonise"
"714","agonises","agonise"
"715","agonising","agonise"
"716","agonists","agonist"
"717","agonized","agonize"
"718","agonizes","agonize"
"719","agonizing","agonize"
"720","agorae","agora"
"721","agoraphobias","agoraphobia"
"722","agoraphobics","agoraphobic"
"723","agoutis","agouti"
"724","agranulocytoses","agranulocytosis"
"725","agreed","agree"
"726","agreeing","agree"
"727","agreements","agreement"
"728","agrees","agree"
"729","agribusinesses","agribusiness"
"730","agriculturalists","agriculturalist"
"731","agriculturists","agriculturist"
"732","agrochemicals","agrochemical"
"733","agroecosystems","agroecosystem"
"734","agronomists","agronomist"
"735","ags","ag"
"736","aguas","agua"
"737","agues","ague"
"738","ahs","ah"
"739","aided","aid"
"740","aides","aide"
"741","aides-de-camp","aide-de-camp"
"742","aiding","aid"
"743","aids","aid"
"744","ailed","ail"
"745","ailerons","aileron"
"746","ailing","ail"
"747","ailments","ailment"
"748","ails","ail"
"749","aimed","aim"
"750","aiming","aim"
"751","aims","aim"
"752","air-bladders","air-bladder"
"753","air-conditioners","air-conditioner"
"754","air-dried","air-dry"
"755","air-dries","air-dry"
"756","air-drying","air-dry"
"757","air-flows","air-flow"
"758","air-pumps","air-pump"
"759","air-raids","air-raid"
"760","air-shafts","air-shaft"
"761","airbags","airbag"
"762","airbeds","airbed"
"763","airbricks","airbrick"
"764","airbrushed","airbrush"
"765","airbrushes","airbrush"
"766","airbrushing","airbrush"
"767","airbuses","airbus"
"768","airconditionings","airconditioning"
"769","aircrafts","aircraft"
"770","aircrews","aircrew"
"771","airdrops","airdrop"
"772","aired","air"
"773","airfields","airfield"
"774","airflows","airflow"
"775","airframes","airframe"
"776","airguns","airgun"
"777","airier","airy"
"778","airiest","airy"
"779","airig","aire"
"780","airing","air"
"781","airlanes","airlane"
"782","airletters","airletter"
"783","airlifted","airlift"
"784","airlifting","airlift"
"785","airlifts","airlift"
"786","airliners","airliner"
"787","airlines","airline"
"788","airlocks","airlock"
"789","airmailed","airmail"
"790","airmailing","airmail"
"791","airmails","airmail"
"792","airmen","airman"
"793","airplanes","airplane"
"794","airports","airport"
"795","airs","air"
"796","airships","airship"
"797","airspaces","airspace"
"798","airspeeds","airspeed"
"799","airstreams","airstream"
"800","airstrikes","airstrike"
"801","airstrips","airstrip"
"802","airwaves","airwave"
"803","airways","airway"
"804","airwomen","airwoman"
"805","aisles","aisle"
"806","aitches","aitch"
"807","alae","ala"
"808","alanines","alanine"
"809","alarmed","alarm"
"810","alarming","alarm"
"811","alarmists","alarmist"
"812","alarms","alarm"
"813","albanians","albanian"
"814","albatrosses","albatross"
"815","albedos","albedo"
"816","albinisms","albinism"
"817","albinos","albino"
"818","albumens","albumen"
"819","albumins","albumin"
"820","albums","album"
"821","alchemies","alchemy"
"822","alchemists","alchemist"
"823","alcoholics","alcoholic"
"824","alcoholisms","alcoholism"
"825","alcohols","alcohol"
"826","alcopops","alcopop"
"827","alcoves","alcove"
"828","aldehydes","aldehyde"
"829","aldermen","alderman"
"830","alders","alder"
"831","aldosterones","aldosterone"
"832","alerted","alert"
"833","alerting","alert"
"834","alerts","alert"
"835","ales","ale"
"836","alexandrines","alexandrine"
"837","alexithymias","alexithymia"
"838","alfalfas","alfalfa"
"839","alfas","alfa"
"840","algae","alga"
"841","algas","alga"
"842","algebras","algebra"
"843","algerians","algerian"
"844","alginates","alginate"
"845","algorithms","algorithm"
"846","aliased","alias"
"847","aliases","alias"
"848","aliasing","alias"
"849","alibis","alibi"
"850","alienated","alienate"
"851","alienates","alienate"
"852","alienating","alienate"
"853","alienations","alienation"
"854","aliens","alien"
"855","alighted","alight"
"856","alighting","alight"
"857","alights","alight"
"858","aligned","align"
"859","aligning","align"
"860","alignments","alignment"
"861","aligns","align"
"862","aliments","aliment"
"863","aliquots","aliquot"
"864","alit","alight"
"865","alkalies","alkali"
"866","alkalinities","alkalinity"
"867","alkalis","alkali"
"868","alkaloids","alkaloid"
"869","alkaloses","alkalosis"
"870","alkanes","alkane"
"871","alkenes","alkene"
"872","alkylations","alkylation"
"873","alkyls","alkyl"
"874","alkynes","alkyne"
"875","all-rounders","all-rounder"
"876","all-rounders.","all-rounder"
"877","allantoins","allantoin"
"878","allayed","allay"
"879","allaying","allay"
"880","allays","allay"
"881","allegations","allegation"
"882","alleged","allege"
"883","alleges","allege"
"884","allegiances","allegiance"
"885","alleging","allege"
"886","allegories","allegory"
"887","alleles","allele"
"888","allergenicities","allergenicity"
"889","allergens","allergen"
"890","allergies","allergy"
"891","alleviated","alleviate"
"892","alleviates","alleviate"
"893","alleviating","alleviate"
"894","alley-ways","alley-way"
"895","alleys","alley"
"896","alleyways","alleyway"
"897","alliances","alliance"
"898","allied","ally"
"899","allies","ally"
"900","alligators","alligator"
"901","alliterations","alliteration"
"902","alliums","allium"
"903","alloantibodies","alloantibody"
"904","allocated","allocate"
"905","allocates","allocate"
"906","allocating","allocate"
"907","allocations","allocation"
"908","allocators","allocator"
"909","allografts","allograft"
"910","allophones","allophone"
"911","allotments","allotment"
"912","allots","allot"
"913","allotted","allot"
"914","allotting","allot"
"915","allowances","allowance"
"916","allowed","allow"
"917","allowing","allow"
"918","allows","allow"
"919","alloyed","alloy"
"920","alloying","alloy"
"921","alloys","alloy"
"922","allspices","allspice"
"923","alluded","allude"
"924","alludes","allude"
"925","alluding","allude"
"926","allured","allure"
"927","allurements","allurement"
"928","allures","allure"
"929","alluring","allure"
"930","allusions","allusion"
"931","alluvia","alluvium"
"932","alluviums","alluvium"
"933","allying","ally"
"934","almanacs","almanac"
"935","almonds","almond"
"936","almshouses","almshouse"
"937","aloes","aloe"
"938","alohas","aloha"
"939","alopecias","alopecia"
"940","alpacas","alpaca"
"941","alpha-blockers","alpha-blocker"
"942","alpha-helices","alpha-helix"
"943","alpha-helixes","alpha-helix"
"944","alphabetized","alphabetize"
"945","alphabetizes","alphabetize"
"946","alphabetizing","alphabetize"
"947","alphabets","alphabet"
"948","alphas","alpha"
"949","alpines","alpine"
"950","alsatians","alsatian"
"951","also-rans","also-ran"
"952","altars","altar"
"953","alterations","alteration"
"954","altercations","altercation"
"955","altered","alter"
"956","altering","alter"
"957","alternated","alternate"
"958","alternates","alternate"
"959","alternating","alternate"
"960","alternations","alternation"
"961","alternatives","alternative"
"962","alternators","alternator"
"963","alters","alter"
"964","altimeters","altimeter"
"965","altitudes","altitude"
"966","altos","alto"
"967","altruisms","altruism"
"968","aluminiums","aluminium"
"969","aluminums","aluminum"
"970","alumnae","alumna"
"971","alumni","alumnus"
"972","alveoli","alveolus"
"973","am","be"
"974","amahs","amah"
"975","amalgamated","amalgamate"
"976","amalgamates","amalgamate"
"977","amalgamating","amalgamate"
"978","amalgamations","amalgamation"
"979","amalgams","amalgam"
"980","amanuenses","amanuensis"
"981","amaranths","amaranth"
"982","amassed","amass"
"983","amasses","amass"
"984","amassing","amass"
"985","amateurs","amateur"
"986","amazed","amaze"
"987","amazes","amaze"
"988","amazing","amaze"
"989","amazons","amazon"
"990","ambassadors","ambassador"
"991","ambiances","ambiance"
"992","ambiences","ambience"
"993","ambiguities","ambiguity"
"994","ambitions","ambition"
"995","ambits","ambit"
"996","ambled","amble"
"997","ambles","amble"
"998","ambling","amble"
"999","amblyopias","amblyopia"
"1000","ambulancemen","ambulanceman"
"1001","ambulances","ambulance"
"1002","ambulations","ambulation"
"1003","ambushed","ambush"
"1004","ambushes","ambush"
"1005","ambushing","ambush"
"1006","ameliorated","ameliorate"
"1007","ameliorates","ameliorate"
"1008","ameliorating","ameliorate"
"1009","ameliorations","amelioration"
"1010","amended","amend"
"1011","amending","amend"
"1012","amendments","amendment"
"1013","amends","amend"
"1014","amenities","amenity"
"1015","amenorrheas","amenorrhea"
"1016","amenorrhoeas","amenorrhoea"
"1017","amens","amen"
"1018","amerced","amerce"
"1019","amerces","amerce"
"1020","amercing","amerce"
"1021","americanised","americanise"
"1022","americanises","americanise"
"1023","americanising","americanise"
"1024","americanisms","americanism"
"1025","americanized","americanize"
"1026","americanizes","americanize"
"1027","americanizing","americanize"
"1028","americans","american"
"1029","amethysts","amethyst"
"1030","amides","amide"
"1031","amines","amine"
"1032","amino-acids","amino-acid"
"1033","aminoacids","aminoacid"
"1034","aminoglycosides","aminoglycoside"
"1035","amirs","amir"
"1036","ammeters","ammeter"
"1037","ammonias","ammonia"
"1038","ammonites","ammonite"
"1039","ammoniums","ammonium"
"1040","ammunitions","ammunition"
"1041","amnesias","amnesia"
"1042","amnesties","amnesty"
"1043","amniocenteses","amniocentesis"
"1044","amoebae","amoeba"
"1045","amoebas","amoeba"
"1046","amors","amor"
"1047","amortisations","amortisation"
"1048","amortised","amortise"
"1049","amortises","amortise"
"1050","amortising","amortise"
"1051","amortizations","amortization"
"1052","amortized","amortize"
"1053","amortizes","amortize"
"1054","amortizing","amortize"
"1055","amounted","amount"
"1056","amounting","amount"
"1057","amounts","amount"
"1058","amours","amour"
"1059","amperages","amperage"
"1060","amperes","ampere"
"1061","ampersands","ampersand"
"1062","amphetamines","amphetamine"
"1063","amphibians","amphibian"
"1064","amphiboles","amphibole"
"1065","amphipods","amphipod"
"1066","amphitheaters","amphitheater"
"1067","amphitheatres","amphitheatre"
"1068","amphorae","amphora"
"1069","amphoras","amphora"
"1070","amphotericins","amphotericin"
"1071","ampler","ample"
"1072","amplest","ample"
"1073","amplicons","amplicon"
"1074","amplifications","amplification"
"1075","amplified","amplify"
"1076","amplifiers","amplifier"
"1077","amplifies","amplify"
"1078","amplifying","amplify"
"1079","amplitudes","amplitude"
"1080","ampoules","ampoule"
"1081","amps","amp"
"1082","amputated","amputate"
"1083","amputates","amputate"
"1084","amputating","amputate"
