"","x"
"291","peenus"
"292","peinus"
"293","pen1s"
"294","penas"
"295","penis"
"296","penis-breath"
"297","penus"
"298","penuus"
"299","perse"
"300","Phuc"
"301","phuck"
"302","Phuck"
"303","Phuk"
"304","Phuker"
"305","Phukker"
"306","picka"
"307","pierdol*"
"308","pillu*"
"309","pimmel"
"310","pimpis"
"311","piss*"
"312","pizda"
"313","polac"
"314","polack"
"315","polak"
"316","Poonani"
"317","poontsee"
"318","poop"
"319","porn"
"320","pr0n"
"321","pr1c"
"322","pr1ck"
"323","pr1k"
"324","preteen"
"325","pula"
"326","pule"
"327","pusse"
"328","pussee"
"329","pussy"
"330","puta"
"331","puto"
"332","puuke"
"333","puuker"
"334","qahbeh"
"335","queef*"
"336","queer"
"337","queers"
"338","queerz"
"339","qweers"
"340","qweerz"
"341","qweir"
"342","rautenberg"
"343","recktum"
"344","rectum"
"345","retard"
"346","s.o.b."
"347","sadist"
"348","scank"
"349","schaffer"
"350","scheiss*"
"351","schlampe"
"352","schlong"
"353","schmuck"
"354","screw"
"355","screwing"
"356","scrotum"
"357","semen"
"358","sex"
"359","sexy"
"360","sh!+"
"361","sh!t"
"362","Sh!t"
"363","sh!t*"
"364","sh1t"
"365","sh1ter"
"366","sh1ts"
"367","sh1tter"
"368","sh1tz"
"369","sharmuta"
"370","sharmute"
"371","shemale"
"372","shi+"
"373","shipal"
"374","shit"
"375","shits"
"376","shitter"
"377","Shitty"
"378","Shity"
"379","shitz"
"380","shiz"
"381","Shyt"
"382","Shyte"
"383","Shytty"
"384","Shyty"
"385","skanck"
"386","skank"
"387","skankee"
"388","skankey"
"389","skanks"
"390","Skanky"
"391","skribz"
"392","skurwysyn"
"393","slut"
"394","sluts"
"395","Slutty"
"396","slutz"
"397","smut"
"398","son-of-a-bitch"
"399","sphencter"
"400","spic"
"401","spierdalaj"
"402","splooge"
"403","suka"
"404","teets"
"405","teez"
"406","testical"
"407","testicle"
"408","testicle*"
"409","tit"
"410","tits"
"411","titt"
"412","titt*"
"413","turd"
"414","twat"
"415","va1jina"
"416","vag1na"
"417","vagiina"
"418","vagina"
"419","vaj1na"
"420","vajina"
"421","vittu"
"422","vullva"
"423","vulva"
"424","w00se"
"425","w0p"
"426","wank"
"427","wank*"
"428","wetback*"
"429","wh00r"
"430","wh0re"
"431","whoar"
"432","whore"
"433","wichser"
"434","wop*"
"435","xrated"
"436","xxx"
"437","yed"
"438","zabourah"
