,seq_no,segment,polarity
82,82,Likewise the 250 mph trains--crowded and dirty.,0.22319340705871582
83,83,"Speech-recognition software, a fifties miracle, had long turned to drudge, with entire populations sacrificing hours each day to lonely soliloquising.",0.5513355135917664
84,84,Brain--,0.2881879508495331
85,85,"machine interfacing, wild fruit of sixties optimism, could barely arouse the interest of a child.",0.2852535545825958
86,86,"What people queued the entire weekend for became, six months later, as interesting as the socks on their feet.",0.8938943147659302
87,87,"What happened to the cognition-enhancing helmets, the speaking fridges with a sense of smell?",0.23871083557605743
88,88,"Gone the way of the mouse pad, the Filofax, the electric carving knife, the fondue set.",0.5818060040473938
89,89,The future kept arriving.,0.583976686000824
90,90,"Our bright new toys began to rust before we could get them home, and life went on much as before.",0.7464683651924133
91,91,Would Adam become a bore?,0.35533401370048523
92,92,"it is not easy, to dictate while trying to ward off a bout of buyer's remorse.",0.3515552282333374
93,93,"Surely other people, other minds, must continue to fascinate us.",0.23398621380329132
94,94,"As artificial people became more like us, then became us, then became more than us, we could never tire of them.",0.5077561736106873
95,95,They were bound to surprise us.,0.17561888694763184
96,96,They might fail us in ways that were beyond our imagining.,0.24146144092082977
97,97,"Tragedy was a possibility, but not boredom.",0.1768098771572113
98,98,What was tedious was the prospect of the user's guide.,0.48126527667045593
99,99,Instructions.,0.6755724549293518
100,100,My prejudice was that any machine that could not tell you by its very functioning how it should be used was not worth its keep.,0.30721038579940796
101,101,"On an old-fashioned impulse, I was printing out the manual, then looking for a folder.",0.7015039920806885
102,102,"All the while, I continued to dictate emails.",0.7480194568634033
103,103,"I could not think of myself as Adam's ""user.",0.49352288246154785
104,104,But the manual in my hands had fallen open at Chapter Fourteen.,0.5397647619247437
105,105,Here the English was plain: preferences; personality parameters.,0.6886890530586243
106,106,Then a set of headings--Agreeableness.,0.3269505798816681
107,107,Extraversion.,0.2659377455711365
108,108,Openness to experience.,0.6790387034416199
109,109,Conscientiousness.,0.6019080281257629
110,110,Emotional stability.,0.6918087005615234
111,111,The list was familiar to me.,0.2650275230407715
112,112,The Five Factor model.,0.6597974300384521
113,113,"Educated as I was in the humanities, I was suspicious of such reductive categories, though I knew from a friend in psychology that each item had many subgroups.",0.49570608139038086
114,114,Glancing at the next page I saw that I was supposed to select various settings on a scale of one to ten.,0.5408472418785095
115,115,I would been expecting a friend.,0.632994532585144
116,116,"I was ready to treat Adam as a guest in my home, as an unknown I would come to know.",0.3613778054714203
117,117,I would thought he would arrive optimally adjusted.,0.7067317962646484
118,118,Factory settings--a contemporary synonym for fate.,0.5148388147354126
119,119,"My friends, family and acquaintances all had appeared in my life with fixed settings, with unalterable histories of genes and environment.",0.7091519236564636
120,120,I wanted my expensive new friend to do the same.,0.4024586081504822
121,121,Why leave it to me?,0.26638737320899963
122,122,But of course I knew the answer.,0.3662240505218506
123,123,Not many of us are optimally adjusted.,0.45231154561042786
124,124,Gentle Jesus?,0.292491614818573
125,125,Humble Darwin?,0.38743501901626587
126,126,"One every 1,800 years.",0.5291376113891602
127,127,"Even if it knew the best, the least harmful parameters of personality, which it could not, a worldwide corporation with a precious reputation could not risk a mishap.",0.1503588855266571
128,128,Caveat emptor.,0.3678230047225952
129,129,God had once delivered a fully formed companion for the benefit of the original Adam.,0.09238474816083908
130,130,I had to devise one for myself.,0.3499516248703003
131,131,Here was Extraversion and a graded set of childish statements.,0.24739143252372742
132,132,He loves to be the life and soul of the party and He knows how to entertain people and lead them.,0.6714564561843872
133,133,"And at the bottom, He feels uncomfortable around other people and He prefers his own company.",0.8478237390518188
134,134,"Here in the middle was, He likes a good party but he is always happy to come home.",0.877483069896698
135,135,This was me.,0.877317488193512
136,136,But should I be replicating myself?,0.18336154520511627
137,137,If I was to choose from the middle of each scale I might devise the soul of blandness.,0.2394883930683136
138,138,Extraversion appeared to include its antonym.,0.1893291175365448
139,139,"There was a long adjectival list with boxes to tick: outgoing, shy, excitable, talkative, withdrawn, boastful, modest, bold, energetic, moody.",0.6385936141014099
140,140,"I wanted none of them, not for him, not for myself.",0.7937987446784973
141,141,"Apart from my moments of crazed decisions, I passed most of my life, especially when alone, in a state of mood neutrality, with my personality, whatever that was, in suspension.",0.8300785422325134
142,142,"Not bold, not withdrawn.",0.737915575504303
143,143,"Simply here, neither content nor morose, but carrying out tasks, thinking about dinner or sex, staring at the screen, taking a shower.",0.925277054309845
144,144,"Intermittent regrets about the past, occasional forebodings about the future, barely aware of the present, except in the obvious sensory realm.",0.6337902545928955
145,145,"Psychology, once so interested in the trillion ways the mind goes awry, was now drawn to what it considered the common emotions, from grief to joy.",0.5716069936752319
146,146,"But it had overlooked a vast domain of everyday existence: absent illness, famine, war or other stresses, a lot of life is lived in the neutral zone, a familiar garden, but a grey one, unremarkable, immediately forgotten, hard to describe.",0.6558211445808411
147,147,"At the time, I was not to know that these graded options would have little effect on Adam.",0.6870608925819397
148,148,"The real determinant was what was known as ""machine learning.""",0.3668195605278015
149,149,"The user's handbook merely granted an illusion of influence and control, the kind of illusion parents have in relation to their children's personalities.",0.2804449796676636
150,150,It was a way of binding me to my purchase and providing legal protection for the manufacturer.,0.14536893367767334
151,151,"Allow yourself several weeks, if necessary.""",0.43134573101997375
152,152,I let half an hour pass before I checked on him again.,0.6162450313568115
153,153,No change.,0.7394317984580994
154,154,"Still at the table, arms pushed out straight before him, eyes closed.",0.8942731022834778
155,155,"But I thought his hair, deepest black, was bulked out a little and had acquired a certain shine, as though he would just had a shower.",0.6546154022216797
156,156,"Stepping closer, I saw to my delight that though he was not breathing, there was, by his left breast, a regular pulse, steady and calm, about one a second by my inexperienced guess.",0.36849579215049744
157,157,How reassuring.,0.5130115747451782
158,158,"He had no blood to pump around, but this simulation had an effect.",0.8612595796585083
159,159,My doubts faded just a little.,0.9124807715415955
160,160,"I felt protective towards Adam, even as I knew how absurd it was.",0.4937097728252411
161,161,"I stretched out my hand and laid it over his heart and felt against my palm its calm, iambic tread.",0.7931258082389832
162,162,I sensed I was violating his private space.,0.6425877809524536
163,163,These vital signs were easy to believe in.,0.359108567237854
164,164,"The warmth of his skin, the firmness and yield of the muscle below it",0.7735493183135986
165,165,"It was eerie, to be standing by this naked man, struggling between what I knew and what I felt.",0.7962398529052734
166,166,"I walked behind him, partly to be out of range of eyes that could open at any moment and find me looming over him.",0.7599260210990906
167,167,He was muscular around his neck and spine.,0.263121098279953
168,168,Dark hair grew along the line of his shoulders.,0.5284814834594727
169,169,His buttocks displayed muscular concavities.,0.3148761987686157
170,170,"Below them, an athlete's knotted calves.",0.40669718384742737
171,171,I had not wanted a superman.,0.5373645424842834
172,172,I regretted once more that I would been too late for an Eve.,0.586557149887085
173,173,"On my way out of the room I paused to look back and experienced one of those moments that can derange the emotional life: a startling realisation of the obvious, an absurd leap of understanding into what one already knows.",0.8936330080032349
174,174,I stood with one hand resting on the doorknob.,0.5377836227416992
175,175,"It must have been Adam's nakedness and physical presence that prompted the insight, but I was not looking at him.",0.3725092113018036
176,176,It was the butter dish.,0.8105788826942444
177,177,"Also, two plates and cups, two knives and two spoons scattered across the table.",0.6951825618743896
178,178,The remains of my long afternoon with Miranda.,0.7805318832397461
179,179,"Two wooden chairs were pushed back from the table, turned companionably towards each other.",0.7606741189956665
180,180,We had become closer this past month.,0.7431800365447998
181,181,We talked easily.,0.8726359009742737
182,182,I saw how precious she was to me and how carelessly I could lose her.,0.4131010174751282
183,183,I should have said something by now.,0.41730406880378723
184,184,I would taken her for granted.,0.458625853061676
185,185,"Some unfortunate event, some person, a fellow student, could get between us.",0.3396872580051422
186,186,"Her face, her voice, her manner, both reticent and clear-headed, were sharply present.",0.8168080449104309
187,187,"The feel of her hand in mine, that lost, preoccupied manner she had.",0.8589634895324707
188,188,"Yes, we had become very close and I would failed to notice it was happening.",0.7029963135719299
189,189,I was an idiot.,0.33358684182167053
190,190,I had to tell her.,0.5399420261383057
191,191,"I went back into my office, which doubled as my bedroom.",0.7586767077445984
192,192,Between the desk and the bed there was enough space in which to walk up and down.,0.6139652729034424
193,193,That she knew nothing about my feelings,0.42694714665412903
194,194,was now an anxious matter.,0.8582902550697327
195,195,"Describing them would be embarrassing, perilous.",0.2820989191532135
196,196,"She was a neighbour, a friend, a kind of sister.",0.5928476452827454
197,197,I would be addressing a person I did not yet know.,0.520902693271637
198,198,"She would be obliged to step out from behind a screen, or remove a mask and speak to me in terms I had never heard from her.",0.42309901118278503
199,199,I am so sorry...,0.547579288482666
200,200,I like you very much,0.7490952014923096
201,201,"but, you see ...",0.2780468165874481
202,202,Or she would be horrified.,0.3746713399887085
203,203,"Or, just possibly, overjoyed to hear the one thing she had longed for, or to say herself but dreaded rejection.",0.7141467332839966
204,204,"By chance, we were currently both free.",0.683463454246521
205,205,"She must have thought about it, about us.",0.7198026776313782
206,206,It was not an impossible fantasy.,0.6190310120582581
207,207,I would have to tell her face to face.,0.23189961910247803
208,208,Unbearable.,0.1994204819202423
209,209,Unavoidable.,0.2387775331735611
210,210,"And so it went on, in tightening cycles.",0.8509626984596252
211,211,"Restless, I went back next door.",0.40815988183021545
212,212,"I saw no change in Adam as I brushed past to get to the fridge, where there was a half-full bottle of white Bordeaux.",0.8911179900169373
213,213,I sat facing him and raised my glass.,0.5258247256278992
214,214,To love.,0.54851233959198
215,215,"This time, I felt less tenderness.",0.7656256556510925
216,216,"I saw Adam for what it was, an inanimate confection whose heartbeat was a regular electrical discharge, whose skin warmth was mere chemistry.",0.26295480132102966
217,217,"When activated, some kind of microscopic balance-wheel device would prise open his eyes.",0.21443767845630646
218,218,"He would seem to see me, but he would be blind.",0.22531893849372864
219,219,Not even blind.,0.42641469836235046
220,220,"When it kicked in, another system would give a semblance of breath, but not of life.",0.4610140919685364
221,221,A man newly in love knows what life is.,0.32066237926483154
222,222,"With the inheritance, I could have bought a place somewhere north of the river, Notting Hill, or Chelsea.",0.5142167806625366
223,223,She might even have joined me.,0.2889692783355713
224,224,She would have had space for all the books that were boxed up in her father's garage in Salisbury.,0.6503815054893494
225,225,"I saw a future without Adam, the future that was mine until yesterday: an urban garden, high ceilings with plaster mouldings, stainless-steel kitchen, old friends to dinner.",0.4759531617164612
226,226,Books everywhere.,0.7065665125846863
227,227,What to do?,0.589601457118988
228,228,"I could take him, or it, back, or sell it online and take a small loss.",0.36967933177948
229,229,I gave it a hostile look.,0.30844828486442566
230,230,"The hands were palms down on the table, the hawkish face remained angled towards the hands.",0.5226314067840576
231,231,My foolish infatuation with technology!,0.3954255282878876
232,232,Another fondue set.,0.726792573928833
233,233,Best to get away from the table before I impoverished myself with a single swipe of my father's old claw hammer.,0.06946295499801636
234,234,"I drank no more than half a glass, then I returned to the bedroom to distract myself with the Asian currency markets.",0.5864285230636597
235,235,All the while I listened out for footsteps in the flat above me.,0.6373202204704285
236,236,"Late into the evening, I watched TV to catch up on the Task Force that would soon set off across 8,000 miles of ocean to recapture what we then called the Falkland Islands.",0.38254237174987793
237,237,"At thirty-two, I was completely broke.",0.56591796875
238,238,Wasting my mother's inheritance on a gimmick was only one part of my problem--but typical of it.,0.4414258599281311
239,239,"Whenever money came my way, I caused it to disappear, made a magic bonfire of it, stuffed it into a top hat and pulled out a turkey.",0.650968074798584
240,240,"Often, though not in this recent case, my intention was to conjure a far larger sum with minimal effort.",0.6163358092308044
241,241,"I was a mug for schemes, semilegal ruses, cunning shortcuts.",0.23329585790634155
242,242,I was for grand and brilliant gestures.,0.39642542600631714
243,243,Others made them and flourished.,0.463806688785553
244,244,"They borrowed money, put it to interesting use and remained enriched even as they settled their debts.",0.6176989674568176
245,245,"Or they had jobs, professions, as I once had, and enriched themselves more modestly, at a steady rate.",0.648447573184967
246,246,"I meanwhile leveraged or, rather, shorted myself into genteel ruin, into two damp ground-floor rooms in the dull no-man'sland of Edwardian terraced streets between Stockwell and Clapham, south London.",0.3565155565738678
247,247,"I grew up in a village near Stratford, Warwickshire, the only child of a musician father and community-nurse mother.",0.3145011365413666
248,248,"Compared to Miranda's, my childhood was culturally undernourished.",0.5077269077301025
249,249,"I here was no time or space for books, or even music.",0.4563274383544922
250,250,"I took a precocious interest in electronics but ended up with an anthropology degree from an unregarded college in the south Midlands; I did a conversion course to law and, once qualified, specialised in tax.",0.22166550159454346
251,251,"A week after my twenty-ninth birthday I was struck off, and came close to a short spell in prison.",0.43695658445358276
252,252,My hundred hours of community service convinced me that I should never have a regular job again.,0.3240705728530884
253,253,I made some money out of a book I wrote at high speed on artificial intelligence: lost to a life-extension-pill scheme.,0.08945811539888382
254,254,I made a reasonable sum on a property deal: lost to a car-rental scheme.,0.4375203847885132
255,255,I was left some funds by a favourite uncle who had prosWhispered by way of a heat-pump patent:,0.27979469299316406
256,256,lost to a medical-insurance scheme.,0.7488868832588196
257,257,"At thirty-two, I was surviving by playing the stock and currency markets online.",0.6112935543060303
258,258,"A scheme, just like the rest.",0.5859482288360596
259,259,"For seven hours a day I bowed before my keyboard, buying, selling, hesitating, punching the air one moment, cursing the next, at least at the beginning.",0.4560430347919464
260,260,"I read market reports, but I believed I was dealing in a random system and mostly relied on guesses.",0.432443767786026
261,261,"Sometimes I leaped ahead, sometimes I plunged, but on average through the year I made about as much as the postman.",0.7960337996482849
262,262,"I paid my rent, which was low in those days, ate and dressed well enough and thought I was beginning to stabilise, learning to know myself.",0.8598794341087341
263,263,I was determined that my thirties would be a superior performance to my twenties.,0.5125071406364441
264,264,But my parents' pleasant family home was sold just as the first convincing artificial person came on the market.,0.223187655210495
265,265,"Robots, androids, replicates were my passion, even more so after my research for the book.",0.46451738476753235
266,266,"Prices were bound to fall, but I had to have one straight away, an Eve by preference, but an Adam would do.",0.5927849411964417
267,267,It could have turned out differently.,0.34654557704925537
268,268,"My previous girlfriend, Claire, was a sensible person who trained to be a dental nurse.",0.5316585302352905
269,269,She worked in a Harley Street practice and she would have talked me out of Adam.,0.5687788128852844
270,270,"She was a woman of the world, of this one.",0.736277163028717
271,271,She knew how to arrange a life.,0.4388933777809143
272,272,And not only her own.,0.48999324440956116
273,273,But I offended her with an act of undeniable disloyalty.,0.14517687261104584
274,274,"She disowned me in a scene of regal fury, at the end of which she threw my clothes out into the street.",0.29382333159446716
275,275,Lime Grove.,0.8308671712875366
276,276,She never spoke to me again and belonged at the top of my list of errors and failures.,0.44876015186309814
277,277,She could have saved me from myself.,0.4506300389766693
278,278,But.,0.21235395967960358
279,279,"In the interests of balance, let that unsaved self speak up.",0.17778924107551575
280,280,I did not buy Adam to make money.,0.14015571773052216
281,281,On the contrary.,0.20877276360988617
282,282,My motives were pure.,0.26265600323677063
283,283,"I handed over a fortune in the name of curiosity, that steadfast engine of science, of intellectual life, of life itself.",0.4473237693309784
284,284,I his was no passing fad.,0.44859567284584045
285,285,"There was a history, an account, a time-deposit, and I had a right to draw on it.",0.4541057348251343
286,286,Electronics and anthropology--distant cousins whom late modernity has drawn together and bound in marriage.,0.5789802670478821
287,287,The child of that coupling was Adam.,0.38243556022644043
288,288,"So, I appear before you, witness for the defence, after school, 5 p.m., typical specimen for my time--short trousers, scabby knees, freckles, short back and sides, eleven years old.",0.32157689332962036
289,289,"I m first in line, waiting for the lab to open and for ""Wiring Club to begin.",0.5784292817115784
290,290,"Presiding is Mr. Cox, a gentle giant with carroty hair who teaches physics.",0.6770752668380737
291,291,My project is to build a radio.,0.18352751433849335
292,292,"Its an act of faith, an extended prayer that has taken many weeks.",0.7020875811576843
293,293,"I have a base of hardboard, six inches by nine, easily drilled.",0.5125579833984375
294,294,Colours are everything.,0.8370220065116882
295,295,"Blue, red, yellow and white wires run their modest courses around the board, turning at right angles, disappearing below to emerge elsewhere and be interrupted by bright nodules, tiny vividly striped cylinders-- capacitors, resistors--then an induction coil I have wound myself, then an op-amp.",0.7620649337768555
296,296,I understand nothing.,0.1569928526878357
297,297,I follow a wiring diagram as a novice might murmur scripture.,0.19771049916744232
298,298,Mr. Cox gives softly spoken advice.,0.45334210991859436
299,299,"I clumsily solder one piece, one wire or component, to another.",0.21240103244781494
300,300,The smoke and smell of solder is a drug I inhale deeply.,0.7057679295539856
301,301,"I include in my circuit a toggle switch made of Bakelite which, I have persuaded myself, came out of a fighter plane, a Spitfire surely.",0.351052463054657
302,302,"The final connection, three months after my beginning, is from this piece of dark brown plastic to a nine-volt battery.",0.8062684535980225
303,303,"It is a cold, windy dusk in March.",0.7228631973266602
304,304,Other boys are hunched over their projects.,0.8802216053009033
305,305,"We are twelve miles away from Shakespeare's hometown, in what will come to be known as a ""bogstandard"" comprehensive school.",0.5779260396957397
306,306,"An excellent place, in fact.",0.709650993347168
307,307,The fluorescent ceiling lights come on.,0.46612265706062317
308,308,Mr. Cox is on the far side of the lab with his back turned.,0.7287381887435913
309,309,I do not want to attract his attention in case of failure.,0.475927472114563
310,310,I throw the switch and--,0.21864373981952667
311,311,miracle-- hear the sound of static.,0.19407401978969574
312,312,"I jiggle the variable-tuning capacitor: music, terrible music, as I think, because violins are involved.",0.16308967769145966
313,313,"Then comes the rapid voice of a woman, not speaking English.",0.5045853853225708
314,314,"No one looks up, no one is interested.",0.8046937584877014
315,315,Building a radio is nothing special.,0.16195429861545563
316,316,"But I am speechless, close to tears.",0.3362363874912262
317,317,No technology since will amaze me as much.,0.513776957988739
318,318,"Electricity, passing through pieces of metal carefully arranged by me, snatches from the air",0.5997725129127502
319,319,the voice of a foreign lady sitting somewhere far away.,0.7943866848945618
320,320,Her voice sounds kindly.,0.6475766897201538
321,321,She is not aware of me.,0.6074787974357605
322,322,"I will never learn her name or understand her language, and never meet her, not knowingly.",0.1517992615699768
323,323,"My radio, with its irregular blobs of solder on a board, appears no less a wonder than consciousness itself arising from matter.",0.5682884454727173
324,324,"Brains and electronics were closely related, so I discovered through my teens as I built simple computers and programmed them myself.",0.6250019073486328
325,325,Then complicated computers.,0.5838267803192139
326,326,"Electricity and bits of metal could add up numbers, make words, pictures, songs, remember things and even turn speech into writing.",0.28023838996887207
327,327,"When I was seventeen, Peter Cox persuaded me to study physics at a local college.",0.44600537419319153
328,328,Within a month I was bored and looking to change.,0.3057931363582611
329,329,"The subject was too abstract, the maths was beyond me.",0.36522048711776733
330,330,And by then I would read a book or two and was taking an interest in imaginary people.,0.43119215965270996
331,331,"Heller's Catch-18, Fitzgerald's The High-Bouncing Lover, Orwell's The Last Man in Europe,",0.8516675233840942
332,332,lolstoy's All's,0.8661636710166931
333,333,Well,0.1918986588716507
334,334,That Ends,0.16721577942371368
335,335,Well--I did not get much further and,0.30629777908325195
336,336,yet I saw the point of art.,0.3973745107650757
337,337,It was a form of investigation.,0.31231993436813354
338,338,"But I did not want to study literature--too intimidating, too intuitive.",0.23905695974826813
339,339,"A single-sheet course summary I picked up in the college library announced anthropology as ""the science of people in their societies through space and time.",0.26508936285972595
340,340,"Systematic study, with the human factor thrown in.",0.24944844841957092
341,341,I signed up.,0.3768455386161804
342,342,The first thing to learn: my course was pitifully underfunded.,0.2830507457256317
343,343,"No bunking off for a year to the Trobriand Islands, where, I read, it was taboo to eat in front of others.",0.7458987832069397
344,344,"It was good manners to eat alone, with your back turned to friends and family.",0.6087973713874817
345,345,The islanders had spells to make ugly people beautiful.,0.14257366955280304
346,346,Children were actively encouraged to be sexual with each other.,0.22980782389640808
347,347,Yams were the viable currency.,0.540019154548645
348,348,Women determined the status of men.,0.37703418731689453
349,349,How strange and bracing.,0.778117835521698
350,350,My view of human nature had been shaped by the mostly white population crammed into the southern quarter of England.,0.624754011631012
351,351,Now I was set free into bottomless relativism.,0.7438502907752991
352,352,"At the age of nineteen I wrote a wise essay on honour cultures entitled ""Mind-forged Manacles?",0.09606605768203735
353,353,What did I know or care?,0.17839011549949646
354,354,There were places where rape was so common it did not have a name.,0.5134212970733643
355,355,A young father's throat was cut for failing in his duties to an ancient feud.,0.1836659461259842
356,356,Here was a family eager to kill a daughter for being seen holding hands with a lad from the wrong religious group.,0.24272370338439941
357,357,"There, elderly women keenly assisted in the genital mutilation of their granddaughters.",0.19991406798362732
358,358,What of the instinctive parental impulses to love and protect?,0.2136787325143814
359,359,The cultural signal was louder.,0.5051615238189697
360,360,What of universal values?,0.3538565933704376
361,361,Upended.,0.5290490388870239
362,362,Nothing like this in Stratford-upon-Avon.,0.5854742527008057
363,363,"It was all about the mind, the tradition, the religion--nothing but software, I now thought, and best regarded in value-free terms.",0.5937803983688354
