,vader_roll500,textblob_roll500,huliu_roll500,syuzhet_roll500,jockers_rinker_roll500,sentiword_roll500,senticnet_roll500
153,,,,,,,
154,,,,,,,
155,,,,,,,
156,,,,,,,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,,,,,,,
161,,,,,,,
162,,,,,,,
163,,,,,,,
164,,,,,,,
165,,,,,,,
166,,,,,,,
167,,,,,,,
168,,,,,,,
169,,,,,,,
170,,,,,,,
171,,,,,,,
172,,,,,,,
173,,,,,,,
174,,,,,,,
175,,,,,,,
176,,,,,,,
177,,,,,,,
178,,,,,,,
179,,,,,,,
180,,,,,,,
181,,,,,,,
182,,,,,,,
183,,,,,,,
184,,,,,,,
185,,,,,,,
186,,,,,,,
187,,,,,,,
188,,,,,,,
189,,,,,,,
190,,,,,,,
191,,,,,,,
192,,,,,,,
193,,,,,,,
194,,,,,,,
195,,,,,,,
196,,,,,,,
197,,,,,,,
198,,,,,,,
199,,,,,,,
200,,,,,,,
201,,,,,,,
202,,,,,,,
203,,,,,,,
204,,,,,,,
205,,,,,,,
206,,,,,,,
207,,,,,,,
208,,,,,,,
209,,,,,,,
210,,,,,,,
211,,,,,,,
212,,,,,,,
213,,,,,,,
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,,,,,,,
219,,,,,,,
220,,,,,,,
221,,,,,,,
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,,,,,,,
226,,,,,,,
227,,,,,,,
228,,,,,,,
229,,,,,,,
230,,,,,,,
231,,,,,,,
232,,,,,,,
233,,,,,,,
234,,,,,,,
235,,,,,,,
236,,,,,,,
237,,,,,,,
238,,,,,,,
239,,,,,,,
240,,,,,,,
241,,,,,,,
242,,,,,,,
243,,,,,,,
244,,,,,,,
245,,,,,,,
246,,,,,,,
247,,,,,,,
248,,,,,,,
249,,,,,,,
250,,,,,,,
251,,,,,,,
252,,,,,,,
253,,,,,,,
254,,,,,,,
255,,,,,,,
256,,,,,,,
257,,,,,,,
258,,,,,,,
259,,,,,,,
260,,,,,,,
261,,,,,,,
262,,,,,,,
263,,,,,,,
264,,,,,,,
265,,,,,,,
266,,,,,,,
267,,,,,,,
268,,,,,,,
269,,,,,,,
270,,,,,,,
271,,,,,,,
272,,,,,,,
273,,,,,,,
274,,,,,,,
275,,,,,,,
276,,,,,,,
277,,,,,,,
278,,,,,,,
279,,,,,,,
280,,,,,,,
281,,,,,,,
282,,,,,,,
283,,,,,,,
284,,,,,,,
285,,,,,,,
286,,,,,,,
287,,,,,,,
288,,,,,,,
289,,,,,,,
290,,,,,,,
291,,,,,,,
292,,,,,,,
293,,,,,,,
294,,,,,,,
295,,,,,,,
296,,,,,,,
297,,,,,,,
298,,,,,,,
299,,,,,,,
300,,,,,,,
301,,,,,,,
302,,,,,,,
303,,,,,,,
304,,,,,,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,,,,,,,
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,,,,,,,
313,,,,,,,
314,,,,,,,
315,,,,,,,
316,,,,,,,
317,,,,,,,
318,,,,,,,
319,,,,,,,
320,,,,,,,
321,,,,,,,
322,,,,,,,
323,,,,,,,
324,,,,,,,
325,,,,,,,
326,,,,,,,
327,,,,,,,
328,,,,,,,
329,,,,,,,
330,,,,,,,
331,,,,,,,
332,,,,,,,
333,,,,,,,
334,,,,,,,
335,,,,,,,
336,,,,,,,
337,,,,,,,
338,,,,,,,
339,,,,,,,
340,,,,,,,
341,,,,,,,
342,,,,,,,
343,,,,,,,
344,,,,,,,
345,,,,,,,
346,,,,,,,
347,,,,,,,
348,,,,,,,
349,,,,,,,
350,,,,,,,
351,,,,,,,
352,,,,,,,
353,,,,,,,
354,,,,,,,
355,,,,,,,
356,,,,,,,
357,,,,,,,
358,,,,,,,
359,,,,,,,
360,,,,,,,
361,,,,,,,
362,,,,,,,
363,,,,,,,
364,,,,,,,
365,,,,,,,
366,,,,,,,
367,,,,,,,
368,,,,,,,
369,,,,,,,
370,,,,,,,
371,,,,,,,
372,,,,,,,
373,,,,,,,
374,,,,,,,
375,,,,,,,
376,,,,,,,
377,,,,,,,
378,,,,,,,
379,,,,,,,
380,,,,,,,
381,,,,,,,
382,,,,,,,
383,,,,,,,
384,,,,,,,
385,,,,,,,
386,,,,,,,
387,,,,,,,
388,,,,,,,
389,,,,,,,
390,,,,,,,
391,,,,,,,
392,,,,,,,
393,,,,,,,
394,,,,,,,
395,,,,,,,
396,,,,,,,
397,,,,,,,
398,,,,,,,
399,,,,,,,
400,,,,,,,
401,,,,,,,
402,,,,,,,
403,,,,,,,
404,,,,,,,
405,,,,,,,
406,,,,,,,
407,,,,,,,
408,,,,,,,
409,,,,,,,
410,,,,,,,
411,,,,,,,
412,,,,,,,
413,,,,,,,
414,,,,,,,
415,,,,,,,
416,,,,,,,
417,,,,,,,
418,,,,,,,
419,,,,,,,
420,,,,,,,
421,,,,,,,
422,,,,,,,
423,,,,,,,
424,,,,,,,
425,,,,,,,
426,,,,,,,
427,,,,,,,
428,,,,,,,
429,,,,,,,
430,,,,,,,
431,,,,,,,
432,,,,,,,
433,,,,,,,
434,,,,,,,
435,,,,,,,
436,,,,,,,
437,,,,,,,
438,,,,,,,
439,,,,,,,
440,,,,,,,
441,,,,,,,
442,,,,,,,
443,,,,,,,
444,,,,,,,
445,,,,,,,
446,,,,,,,
447,,,,,,,
448,,,,,,,
449,,,,,,,
450,,,,,,,
451,,,,,,,
452,,,,,,,
453,,,,,,,
454,,,,,,,
455,,,,,,,
456,,,,,,,
457,,,,,,,
458,,,,,,,
459,,,,,,,
460,,,,,,,
461,,,,,,,
462,,,,,,,
463,,,,,,,
464,,,,,,,
465,,,,,,,
466,,,,,,,
467,,,,,,,
468,,,,,,,
469,,,,,,,
470,,,,,,,
471,,,,,,,
472,,,,,,,
473,,,,,,,
474,,,,,,,
475,,,,,,,
476,,,,,,,
477,,,,,,,
478,,,,,,,
479,,,,,,,
480,,,,,,,
481,,,,,,,
482,,,,,,,
483,,,,,,,
484,,,,,,,
485,,,,,,,
486,,,,,,,
487,,,,,,,
488,,,,,,,
489,,,,,,,
490,,,,,,,
491,,,,,,,
492,,,,,,,
493,,,,,,,
494,,,,,,,
495,,,,,,,
496,,,,,,,
497,,,,,,,
498,,,,,,,
499,0.0680768,0.03574,0.064,0.19190000000000002,0.197,0.027598331746031757,0.504526
500,0.067941,0.03546,0.066,0.18930000000000002,0.19440000000000002,0.027264998412698426,0.5031599999999999
501,0.06705119999999999,0.037020000000000004,0.068,0.19030000000000002,0.19540000000000002,0.02753166507936509,0.50464
502,0.06713240000000001,0.03726000000000001,0.068,0.19080000000000003,0.19590000000000002,0.02690666507936509,0.49907399999999996
503,0.0653486,0.03749999999999999,0.07,0.19090000000000001,0.1965,0.027242865079365092,0.497072
504,0.0656548,0.03749999999999999,0.07,0.19140000000000001,0.197,0.026930365079365092,0.4956
505,0.066098,0.0345,0.07,0.1926,0.1982,0.028852984126984137,0.496832
506,0.0638438,0.0335,0.058,0.18569999999999998,0.19129999999999997,0.028519650793650805,0.489216
507,0.0646868,0.033819999999999996,0.062,0.1838,0.18939999999999999,0.025290484126984137,0.48709399999999997
508,0.0630836,0.03408,0.058,0.1795,0.1851,0.026790484126984135,0.482748
509,0.0650504,0.03491999999999999,0.062,0.18470000000000003,0.19030000000000002,0.027790484126984136,0.484518
510,0.0656484,0.034839999999999996,0.066,0.1849,0.1921,0.0294571507936508,0.480334
511,0.06510980000000001,0.03594,0.07,0.1849,0.1921,0.0294571507936508,0.481288
512,0.0641922,0.03532,0.068,0.1839,0.1911,0.02917381746031747,0.48088
513,0.0641922,0.03498,0.068,0.1839,0.1911,0.029298817460317466,0.48466400000000004
514,0.0650312,0.03566,0.068,0.18420000000000003,0.19140000000000001,0.0300821507936508,0.485486
515,0.0645548,0.03566,0.066,0.1801,0.18730000000000002,0.03112381746031747,0.482132
516,0.06572660000000001,0.03766,0.068,0.18080000000000002,0.188,0.03081131746031747,0.480372
517,0.0665304,0.03716,0.07,0.18209999999999998,0.1893,0.03031131746031747,0.478558
518,0.06697159999999999,0.03736,0.072,0.18259999999999998,0.1893,0.035727984126984136,0.481534
519,0.06857479999999999,0.03736,0.074,0.1864,0.19310000000000002,0.03722798412698413,0.47837799999999997
520,0.06937860000000001,0.03736,0.078,0.1884,0.19710000000000003,0.03722798412698413,0.478658
521,0.0689002,0.0373,0.076,0.18680000000000002,0.1955,0.03376678412698413,0.46997799999999995
522,0.0694466,0.0368,0.074,0.1856,0.19429999999999997,0.03276678412698413,0.46904199999999996
523,0.070169,0.0373,0.076,0.1866,0.19529999999999997,0.035141784126984134,0.46713000000000005
524,0.0693652,0.0373,0.076,0.1861,0.19479999999999997,0.03297511746031746,0.46244799999999997
525,0.0700016,0.038299999999999994,0.076,0.1861,0.19479999999999997,0.031375117460317466,0.458686
526,0.07025920000000001,0.0384,0.074,0.1856,0.19429999999999997,0.03014297460317461,0.458774
527,0.0695368,0.0385,0.072,0.1846,0.19329999999999997,0.02739297460317461,0.45949399999999996
528,0.068083,0.0385,0.068,0.18209999999999998,0.19079999999999997,0.02739297460317461,0.45397200000000004
529,0.06685819999999999,0.0386,0.064,0.17959999999999998,0.1883,0.02953880793650794,0.448558
530,0.0675382,0.0386,0.064,0.18009999999999998,0.1888,0.03066380793650794,0.446928
531,0.0684916,0.0386,0.064,0.18130000000000002,0.19,0.02866380793650794,0.44767999999999997
532,0.0684916,0.039,0.064,0.18130000000000002,0.19,0.02728880793650794,0.446366
533,0.06747399999999999,0.038700000000000005,0.058,0.17550000000000002,0.18420000000000003,0.025997141269841276,0.44360000000000005
534,0.0677102,0.036899999999999995,0.058,0.17700000000000002,0.1857,0.026347141269841272,0.44366799999999995
535,0.06703020000000001,0.036559999999999995,0.056,0.17470000000000002,0.1834,0.025347141269841274,0.442534
536,0.0665776,0.0359,0.052,0.17510000000000003,0.18380000000000002,0.024430474603174608,0.43919600000000003
537,0.0665776,0.0359,0.054,0.17510000000000003,0.18580000000000002,0.025030474603174608,0.439308
538,0.06741119999999999,0.03548,0.054,0.1761,0.1884,0.024280474603174607,0.44241800000000003
539,0.06741119999999999,0.03548,0.054,0.1759,0.18819999999999998,0.024780474603174608,0.44236200000000003
540,0.06654439999999999,0.03544,0.052,0.1754,0.18769999999999998,0.023238807936507944,0.437632
541,0.0676232,0.0355,0.052,0.1743,0.1866,0.024235941269841275,0.43499
542,0.068011,0.03554,0.052,0.17270000000000002,0.185,0.022027607936507942,0.435596
543,0.068011,0.035859999999999996,0.052,0.17360000000000003,0.1859,0.02400260793650794,0.43397
544,0.0679964,0.03526000000000001,0.052,0.1694,0.1817,0.022819274603174605,0.433224
545,0.0679964,0.03526000000000001,0.052,0.1694,0.1817,0.02427760793650794,0.435172
546,0.06578380000000002,0.03486,0.048,0.1651,0.1774,0.02434010793650794,0.426918
547,0.06578380000000002,0.035059999999999994,0.048,0.1646,0.1769,0.02409010793650794,0.42826
548,0.06467619999999999,0.03492,0.046,0.1627,0.177,0.020469274603174607,0.42557599999999995
549,0.06467619999999999,0.03452,0.046,0.1627,0.177,0.020469274603174607,0.42581199999999997
550,0.0654538,0.03572,0.046,0.1637,0.176,0.021281774603174607,0.422796
551,0.0662774,0.03582,0.046,0.1637,0.176,0.022031774603174608,0.42240799999999995
552,0.0662774,0.035919999999999994,0.046,0.1637,0.176,0.021531774603174608,0.42032600000000003
553,0.0659216,0.036019999999999996,0.044,0.1621,0.1744,0.02271927460317461,0.41475599999999996
554,0.06597320000000001,0.03678,0.044,0.1626,0.1749,0.02296927460317461,0.416296
555,0.0676914,0.036379999999999996,0.05,0.1665,0.17880000000000001,0.024115107936507944,0.416126
556,0.06674039999999999,0.036059999999999995,0.048,0.161,0.1733,0.021615107936507942,0.416136
557,0.0668412,0.035559999999999994,0.046,0.1603,0.1726,0.016865107936507945,0.409224
558,0.06904779999999999,0.03598,0.05,0.16390000000000002,0.1762,0.02161510793650794,0.408782
559,0.0682048,0.03577999999999999,0.048,0.16240000000000002,0.1747,0.02174010793650794,0.40619399999999994
560,0.0682048,0.035179999999999996,0.046,0.16140000000000002,0.1737,0.02124010793650794,0.40502999999999995
561,0.0682048,0.03604,0.046,0.16140000000000002,0.1737,0.02149010793650794,0.40494399999999997
562,0.067006,0.03584,0.044,0.1601,0.1724,0.02174010793650794,0.40303
563,0.06788680000000001,0.03634,0.046,0.1616,0.1739,0.021573441269841277,0.40168600000000004
564,0.06788680000000001,0.03664,0.046,0.16179999999999997,0.17410000000000003,0.021448441269841276,0.40191200000000005
565,0.069357,0.03674,0.052,0.16269999999999998,0.17700000000000002,0.019635941269841275,0.40203
566,0.0682132,0.03674,0.05,0.16040000000000001,0.17470000000000002,0.021135941269841276,0.398578
567,0.06632300000000001,0.03762,0.048,0.1574,0.1713,0.019156774603174612,0.393356
568,0.0668148,0.037939999999999995,0.048,0.15569999999999998,0.16960000000000003,0.018781774603174612,0.394142
569,0.0670202,0.03896,0.052,0.15660000000000002,0.1705,0.019594274603174613,0.39847999999999995
570,0.0659668,0.03896,0.052,0.1564,0.1703,0.02159427460317461,0.399666
571,0.06592279999999999,0.039259999999999996,0.05,0.15170000000000003,0.1676,0.023760941269841275,0.394144
572,0.06493499999999999,0.039259999999999996,0.048,0.15070000000000003,0.1666,0.025760941269841277,0.392594
573,0.0661068,0.03902,0.05,0.1504,0.1663,0.026083857936507943,0.38758
574,0.06522599999999999,0.037939999999999995,0.048,0.1525,0.1684,0.02731302460317461,0.389146
575,0.06522599999999999,0.037739999999999996,0.046,0.15120000000000003,0.16710000000000003,0.024938024603174607,0.395332
576,0.0640038,0.03634,0.044,0.14900000000000002,0.16490000000000002,0.023688024603174606,0.39779200000000003
577,0.0640038,0.03594,0.044,0.14780000000000001,0.1637,0.02243802460317461,0.398956
578,0.0640038,0.03577999999999999,0.046,0.14880000000000002,0.1647,0.023938024603174606,0.399856
579,0.06524900000000002,0.036019999999999996,0.05,0.152,0.1679,0.023815891269841273,0.40439600000000003
580,0.06474900000000001,0.03578,0.048,0.151,0.1669,0.024065891269841273,0.39998
581,0.065429,0.03572,0.048,0.15300000000000002,0.1689,0.023190891269841273,0.397652
582,0.06711360000000001,0.03658,0.05,0.15500000000000003,0.1709,0.025065891269841274,0.398152
583,0.067676,0.03696,0.052,0.15630000000000002,0.1722,0.02773255793650794,0.39628399999999997
584,0.0683984,0.037160000000000006,0.054,0.15780000000000002,0.1737,0.027290891269841272,0.39478
585,0.0677654,0.0382,0.056,0.1535,0.1694,0.02591589126984127,0.391502
586,0.06696160000000001,0.03786,0.054,0.152,0.1679,0.02691589126984127,0.390028
587,0.06581780000000001,0.03792,0.052,0.1489,0.1648,0.02654089126984127,0.386286
588,0.06581780000000001,0.03792,0.054,0.1499,0.1658,0.027865891269841275,0.38345799999999997
589,0.06581780000000001,0.038200000000000005,0.054,0.15150000000000002,0.1674,0.02853255793650794,0.38627
590,0.0652432,0.03836,0.054,0.1489,0.1648,0.02902660555555556,0.37976399999999993
591,0.066624,0.03836,0.056,0.151,0.1669,0.028187319841269844,0.37690999999999997
592,0.0684328,0.038799999999999994,0.058,0.15360000000000001,0.1695,0.032353986507936514,0.38036200000000003
593,0.0678644,0.0396,0.058,0.15330000000000002,0.16920000000000002,0.03222898650793651,0.37463399999999997
594,0.068012,0.03972,0.058,0.1525,0.1684,0.02885398650793651,0.369676
595,0.0673112,0.03972,0.058,0.15250000000000002,0.1684,0.02841648650793651,0.369698
596,0.06765100000000002,0.04036,0.06,0.15350000000000003,0.1694,0.027916486507936513,0.367842
597,0.068236,0.04036,0.064,0.15480000000000002,0.1707,0.03004148650793651,0.366964
598,0.06764400000000001,0.04112,0.066,0.1534,0.16929999999999998,0.03154148650793651,0.36669
599,0.0680966,0.04192,0.066,0.1539,0.16979999999999998,0.03160398650793651,0.368212
600,0.0693126,0.04186,0.066,0.1534,0.16929999999999998,0.032853986507936514,0.367958
601,0.06905660000000001,0.04186,0.066,0.1539,0.16979999999999998,0.033603986507936515,0.37118799999999996
602,0.06905660000000001,0.04186,0.066,0.1544,0.17029999999999998,0.032603986507936514,0.37243
603,0.06905660000000001,0.04186,0.066,0.1544,0.17029999999999998,0.032270653174603176,0.370214
604,0.0700612,0.04186,0.068,0.1554,0.17129999999999998,0.03410398650793651,0.368392
605,0.06900780000000001,0.04208,0.066,0.1539,0.16979999999999998,0.032340097619047624,0.364812
606,0.06900780000000001,0.04208,0.066,0.1539,0.16979999999999998,0.03104009761904762,0.36598
607,0.06900780000000001,0.04273999999999999,0.066,0.1539,0.16979999999999998,0.03185259761904762,0.37284599999999996
608,0.0683278,0.04154,0.064,0.15270000000000003,0.1686,0.02985259761904762,0.371164
609,0.0683278,0.041159999999999995,0.064,0.15320000000000003,0.1691,0.02985259761904762,0.37237
610,0.0680216,0.04136,0.062,0.15220000000000003,0.1681,0.03147759761904762,0.374092
611,0.0680216,0.040600000000000004,0.062,0.1506,0.1665,0.03147759761904762,0.372226
612,0.0680216,0.04032,0.062,0.14980000000000002,0.16570000000000001,0.03047759761904762,0.370514
613,0.0675626,0.03782,0.062,0.14770000000000003,0.1636,0.03247759761904762,0.367296
614,0.0665092,0.036019999999999996,0.058,0.1459,0.16179999999999997,0.02947759761904762,0.36651
615,0.0655214,0.03622,0.058,0.1443,0.16019999999999998,0.029060930952380958,0.366782
616,0.0632264,0.03612,0.056,0.1422,0.1581,0.02764426428571429,0.364916
617,0.06259,0.03612,0.056,0.1422,0.1581,0.02735259761904762,0.3655959999999999
618,0.0618676,0.03478,0.054,0.1409,0.1568,0.02710259761904762,0.36159199999999997
619,0.0609142,0.034379999999999994,0.052,0.14010000000000003,0.156,0.028477597619047623,0.360134
620,0.0595218,0.034820000000000004,0.054,0.1369,0.15280000000000002,0.02967204206349207,0.35919599999999996
621,0.059625,0.034820000000000004,0.054,0.1374,0.15330000000000002,0.02979704206349207,0.359134
622,0.059625,0.03582,0.056,0.1396,0.1555,0.028672042063492068,0.363744
623,0.058988599999999995,0.03632,0.056,0.1396,0.1555,0.027922042063492067,0.363002
624,0.0585124,0.035120000000000005,0.054,0.1376,0.1535,0.02642204206349207,0.360688
625,0.0585124,0.03496,0.05,0.1364,0.15130000000000002,0.02654704206349207,0.358206
626,0.059275999999999995,0.03506,0.052,0.1374,0.15230000000000002,0.026654184920634927,0.36303599999999997
627,0.0582236,0.03426,0.054,0.1404,0.15330000000000002,0.02613335158730159,0.36988600000000005
628,0.0596428,0.034659999999999996,0.06,0.1441,0.15700000000000003,0.02715705158730159,0.37906799999999996
629,0.0581416,0.0339,0.058,0.14079999999999998,0.1537,0.02640705158730159,0.377926
630,0.0581416,0.0339,0.058,0.14079999999999998,0.1537,0.02665705158730159,0.377344
631,0.060053,0.035699999999999996,0.064,0.14479999999999998,0.1577,0.028544551587301594,0.38138799999999995
632,0.0581934,0.03512,0.056,0.14079999999999998,0.1537,0.027644551587301593,0.376526
633,0.059503400000000005,0.03486,0.054,0.1413,0.1542,0.027582051587301593,0.379224
634,0.0577686,0.03386,0.046,0.1363,0.14920000000000003,0.024727884920634925,0.37513799999999997
635,0.0577686,0.03386,0.046,0.1353,0.14820000000000003,0.023352884920634923,0.3783
636,0.0577686,0.0335,0.046,0.1353,0.14820000000000003,0.024852884920634925,0.377834
637,0.0577686,0.0343,0.046,0.1353,0.14820000000000003,0.023602884920634924,0.38038
638,0.058491,0.0343,0.048,0.13510000000000003,0.148,0.024852884920634925,0.384018
639,0.0571094,0.03414,0.046,0.1348,0.14770000000000003,0.022352884920634926,0.38008800000000004
640,0.057514,0.03448,0.048,0.1348,0.14970000000000003,0.022540384920634923,0.37606799999999996
641,0.059598399999999996,0.03387999999999999,0.046,0.1415,0.1564,0.024698718253968254,0.373812
642,0.0615224,0.03422,0.046,0.14420000000000002,0.1591,0.023073718253968256,0.37168599999999996
643,0.0615224,0.03422,0.046,0.1421,0.157,0.020490384920634926,0.371896
644,0.062244799999999996,0.03544,0.052,0.1436,0.1605,0.018490384920634925,0.37284
645,0.0604776,0.03546,0.05,0.1436,0.1605,0.021352384920634924,0.37329
646,0.0626824,0.036359999999999996,0.058,0.15109999999999998,0.168,0.02104405158730159,0.37268799999999996
647,0.0626824,0.036739999999999995,0.054,0.14930000000000002,0.16620000000000001,0.02079405158730159,0.37293400000000004
648,0.0625792,0.03634,0.054,0.14720000000000003,0.16460000000000002,0.021627384920634925,0.369834
649,0.06303260000000001,0.036239999999999994,0.064,0.15100000000000002,0.1684,0.023377384920634924,0.37205600000000005
650,0.0627766,0.03584,0.062,0.148,0.16540000000000002,0.022314884920634923,0.369562
651,0.062324,0.03584,0.062,0.1475,0.16490000000000002,0.021189884920634925,0.366858
652,0.0630464,0.03658,0.064,0.14909999999999998,0.1665,0.021419051587301594,0.364988
653,0.0636384,0.03658,0.064,0.14909999999999998,0.1665,0.021294051587301594,0.36595
654,0.0631858,0.03628,0.064,0.1479,0.16529999999999997,0.021644051587301594,0.36891199999999996
655,0.0632058,0.03638,0.062,0.147,0.166,0.023019051587301595,0.367318
656,0.06173560000000001,0.03626,0.06,0.1441,0.16310000000000002,0.025102384920634924,0.365128
657,0.0613364,0.037099999999999994,0.062,0.1426,0.16160000000000002,0.024602384920634924,0.364594
658,0.06218900000000001,0.037099999999999994,0.064,0.1431,0.16210000000000002,0.026464884920634927,0.365548
659,0.0625198,0.03778,0.068,0.14520000000000002,0.1642,0.02861071825396826,0.367396
660,0.0625198,0.03878,0.068,0.14570000000000002,0.1647,0.027402384920634928,0.36768
661,0.060942600000000006,0.037520000000000005,0.064,0.14370000000000002,0.1627,0.025527384920634926,0.36586599999999997
662,0.0627496,0.03786,0.066,0.14570000000000002,0.1647,0.026777384920634927,0.363688
663,0.06149980000000001,0.036120000000000006,0.064,0.1433,0.1623,0.02506905158730159,0.360772
664,0.061128600000000005,0.036120000000000006,0.064,0.14370000000000002,0.1627,0.026113584920634928,0.36195599999999994
665,0.0636112,0.037480000000000006,0.066,0.1475,0.16650000000000004,0.0274350134920635,0.361994
666,0.0638672,0.037880000000000004,0.066,0.1487,0.16770000000000002,0.02801834682539683,0.361854
667,0.0629678,0.03754,0.066,0.14820000000000003,0.16720000000000002,0.02614334682539683,0.361842
668,0.0629678,0.03664,0.068,0.1494,0.1684,0.027143346825396833,0.360226
669,0.0629678,0.03664,0.068,0.14820000000000003,0.16720000000000002,0.027393346825396833,0.362616
670,0.0629678,0.03664,0.07,0.14870000000000003,0.16770000000000002,0.02964334682539683,0.364554
671,0.0629678,0.03664,0.07,0.14710000000000004,0.1661,0.027226680158730164,0.365678
672,0.06373140000000001,0.03724,0.07,0.1496,0.1666,0.027976680158730165,0.36432600000000004
673,0.06327880000000001,0.03736,0.074,0.1484,0.16540000000000002,0.027768346825396834,0.36291199999999996
674,0.0625972,0.03616,0.072,0.1479,0.16490000000000002,0.028205846825396834,0.36393800000000004
675,0.0625972,0.03616,0.072,0.14710000000000004,0.1641,0.030705846825396833,0.363928
676,0.0631892,0.03676,0.074,0.14780000000000001,0.16479999999999997,0.030810013492063498,0.363882
677,0.0631892,0.03676,0.074,0.14780000000000001,0.16479999999999997,0.0310600134920635,0.365564
678,0.0631892,0.03686,0.074,0.14780000000000001,0.16479999999999997,0.030810013492063498,0.36488399999999993
679,0.0635734,0.03702,0.078,0.14800000000000002,0.165,0.028414180158730165,0.366772
680,0.0645612,0.03752,0.078,0.14800000000000002,0.165,0.027914180158730165,0.369856
681,0.0632892,0.03626,0.076,0.14650000000000002,0.1635,0.02745584682539683,0.371288
682,0.0632892,0.035859999999999996,0.076,0.14600000000000002,0.163,0.02814334682539683,0.37411
683,0.0634436,0.035859999999999996,0.076,0.14600000000000002,0.163,0.03066834682539683,0.37303200000000003
684,0.0629436,0.035859999999999996,0.076,0.14500000000000002,0.162,0.031918346825396834,0.37142000000000003
685,0.0638612,0.03686,0.078,0.14570000000000002,0.1627,0.033471346825396826,0.370756
686,0.0638612,0.03645999999999999,0.082,0.14670000000000002,0.1637,0.032846346825396826,0.368404
687,0.06340860000000001,0.03645999999999999,0.084,0.14820000000000003,0.1652,0.031763013492063494,0.368922
688,0.065185,0.03796,0.086,0.1486,0.16560000000000002,0.029163013492063496,0.37165200000000004
689,0.066824,0.03976,0.086,0.1496,0.16660000000000003,0.028513013492063498,0.37231200000000003
690,0.06702939999999999,0.03976,0.086,0.1496,0.16660000000000003,0.030013013492063496,0.37391199999999997
691,0.06702939999999999,0.03976,0.086,0.1496,0.16660000000000003,0.030263013492063496,0.372382
692,0.06702939999999999,0.0395,0.084,0.1501,0.16710000000000003,0.02822134682539683,0.371458
693,0.0672854,0.0396,0.084,0.1506,0.16760000000000003,0.025708846825396828,0.37337
694,0.06773799999999999,0.040100000000000004,0.086,0.15230000000000002,0.1693,0.026208846825396828,0.372514
